id_tipovehiculo;id_marcavehiculo;color;placa;soat;tecnomecanica;foto
1;1;azul;658 KHG;1;1;2
1;5;verde;145 KLQ;1;1;2
2;14;negro;147 MNZ;1;1;2
2;18;gris;445 GZM;1;1;2
1;7;marron;826 NHS;1;1;2
1;10;amarillo;204 CZR;1;1;2
2;18;blanco;741 HYM;1;1;2
2;12;rojo;308 PVO;1;1;2
2;15;purpura;864 RKO;1;1;2
1;4;azul;688 GH;1;1;2
1;6;verde;947 HLR;1;1;2
2;14;negro;587 GNA;1;1;2
1;3;gris;475 SZM;1;1;2
2;16;marron;926 VHS;1;1;2
2;18;amarillo;279 VZT;1;1;2
2;12;blanco;791 PYM;1;1;2
1;1;rojo;785 FVO;1;1;2
1;2;purpura;874 OKO;1;1;2
1;3;amarillo;352 KOI;1;1;2
1;7;rojo;567 HYT;1;1;2
